========
|  16806 |  14604 |  32767 |  32767 | e |
|  16786 |  14576 |  32767 |  32767 | e |
|  16782 |  14574 |  32767 |  32767 | e |
|  16784 |  14573 |  32767 |  32767 | e |
|  16781 |  14572 |  32767 |  32767 | e |
|  16784 |  14573 |  32767 |  32767 | e |
|  16782 |  14573 |  32767 |  32767 | e |
|  16781 |  14573 |  32767 |  32767 | e |
|  16784 |  14573 |  32767 |  32767 | e |
|  16782 |  14574 |  32767 |  32767 | e |
|  16784 |  14573 |  32767 |  32767 | e |
|  16787 |  14581 |  32767 |  32767 | e |
|  16785 |  14574 |  32767 |  32767 | e |
|  16784 |  14571 |  32767 |  32767 | e |
|  16783 |  14578 |  32767 |  32767 | e |
|  16786 |  14577 |  32767 |  32767 | e |
|  16799 |  14601 |  32767 |  32767 | e |
|  16786 |  14575 |  32767 |  32767 | e |
|  16785 |  14575 |  32767 |  32767 | e |
|  16783 |  14581 |  32767 |  32767 | e |
|  16785 |  14577 |  32767 |  32767 | e |
|  16782 |  14575 |  32767 |  32767 | e |
|  16785 |  14576 |  32767 |  32767 | e |
|  16787 |  14576 |  32767 |  32767 | e |
|  16781 |  14576 |  32767 |  32767 | e |
|  16782 |  14575 |  32767 |  32767 | e |
|  16781 |  14572 |  32767 |  32767 | e |
|  16781 |  14573 |  32767 |  32767 | e |
|  16786 |  14570 |  32767 |  32767 | e |
|  16786 |  14570 |  32767 |  32767 | e |
|  16782 |  14573 |  32767 |  32767 | e |
|  16779 |  14570 |  32767 |  32767 | e |
|  16782 |  14575 |  32767 |  32767 | e |
|  16781 |  14574 |  32767 |  32767 | e |
|  16777 |  14568 |  32767 |  32767 | e |
|  16778 |  14570 |  32767 |  32767 | e |
|  16780 |  14572 |  32767 |  32767 | e |
|  16779 |  14572 |  32767 |  32767 | e |
|  16779 |  14573 |  32767 |  32767 | e |
|  16781 |  14572 |  32767 |  32767 | e |
|  16778 |  14568 |  32767 |  32767 | e |
|  16777 |  14567 |  32767 |  32767 | e |
|  16777 |  14569 |  32767 |  32767 | e |
|  16777 |  14570 |  32767 |  32767 | e |
|  16778 |  14567 |  32767 |  32767 | e |
|  16780 |  14570 |  32767 |  32767 | e |
|  16782 |  14574 |  32767 |  32767 | e |
|  16782 |  14573 |  32767 |  32767 | e |
|  16778 |  14568 |  32767 |  32767 | e |
|  16781 |  14571 |  32767 |  32767 | e |
|  16777 |  14569 |  32767 |  32767 | e |
|  16835 |  14605 |  32767 |  32767 | e |
